time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
76,71,35,148,402.61,516.4,43.695034,40.269234,5.608,36,19,71,148,,363
77,121,74,148,408.19,516.6,43.695084,40.269238,5.673,36,16,121,148,44,725
78,30,69,148,413.85,516.8,43.695133,40.269245,5.402,36,4,30,148,44,362
79,8,63,148,419.3,516.8,43.695183,40.26925,5.291,36,1,8,148,44,362
80,5,63,148,424.62,516.8,43.69523,40.269253,5.16,36,1,5,148,48,361
81,5,62,147,429.74,517.0,43.695274,40.269257,5.02,36,1,5,147,0,362
82,71,62,147,434.8,517.0,43.69532,40.26926,4.983,36,11,71,147,0,360
83,154,63,147,439.73,517.0,43.695366,40.269264,4.899,36,23,154,147,38,362
84,155,66,146,444.72,517.0,43.69541,40.269268,5.039,36,22,155,146,65,362
85,44,65,146,449.91,517.0,43.695457,40.269268,5.188,36,6,44,146,65,364
86,119,64,146,455.22,517.0,43.695507,40.26927,5.235,36,18,119,146,32,362
87,157,68,146,460.49,517.0,43.695553,40.269276,5.291,36,22,157,146,58,363
88,38,67,147,465.82,517.2,43.695602,40.269276,5.235,36,5,38,147,58,363
89,169,69,147,471.26,517.4,43.69565,40.26928,5.402,36,23,169,147,35,365
90,92,69,148,476.83,517.6,43.695698,40.26928,5.57,36,13,92,148,51,730
91,92,71,148,482.43,517.6,43.69575,40.269283,5.57,36,12,92,148,55,365
92,130,72,148,488.18,517.6,43.6958,40.269283,5.626,36,17,130,148,51,368
93,92,71,148,493.9,517.8,43.695854,40.269287,5.71,36,12,92,148,51,367
94,148,72,148,499.68,517.8,43.695904,40.26929,5.692,36,20,148,148,33,369
95,179,75,148,505.54,517.8,43.695957,40.26929,5.981,36,23,179,148,58,369
96,172,75,148,511.62,517.8,43.696014,40.269295,6.009,36,22,172,148,58,741
97,226,78,148,517.76,518.0,43.696068,40.269295,6.186,36,28,226,148,38,370
98,312,78,149,524.07,518.0,43.696125,40.269295,6.28,36,38,312,149,48,745
